x y z r g b label
-1.01928 15.20479 2.91847 189 189 189 1
-1.13489 15.19915 2.86950 190 190 190 1
-1.24740 15.19884 2.81362 193 193 193 1
-1.35289 15.19940 2.74536 191 191 191 1
-1.45549 15.20166 2.67326 191 191 191 1
-1.55721 15.20062 2.60036 191 191 191 1
-1.66284 15.20034 2.53234 191 191 191 1
-1.76272 15.19704 2.45615 190 190 190 1
-1.85060 15.19633 2.36620 186 186 186 1
-1.94214 15.19917 2.28062 190 190 190 1
-2.03172 15.19237 2.19281 185 185 185 1
-2.11030 15.19974 2.09495 190 190 190 1
-2.19788 15.20326 2.00458 186 186 186 1
-2.26387 15.19997 1.89728 183 183 183 1
-2.32903 15.19690 1.79034 174 174 174 1
-2.40485 15.19948 1.69042 181 181 181 1
-2.46762 15.20254 1.58206 179 179 179 1
-2.52453 15.19844 1.47056 180 180 180 1
-2.58901 15.19982 1.36253 185 185 185 1
-2.63494 15.19955 1.24569 177 177 177 1
-2.67642 15.20143 1.12738 175 175 175 1
-2.71879 15.20147 1.00954 179 179 179 1
-2.75933 15.20069 0.89086 175 175 175 1
-2.80195 15.19572 0.77212 167 167 167 1
-2.81389 15.20113 0.64618 171 171 171 1
-2.83049 15.20107 0.52199 179 179 179 1
-2.85783 15.20299 0.39932 164 164 164 1
-2.86746 15.20111 0.27424 171 171 171 1
-2.86697 15.20096 0.14878 169 169 169 1
-2.88102 15.20020 0.02375 173 173 173 1
-2.87018 15.19895 -0.10168 172 172 172 1
-2.86732 15.20491 -0.22728 168 168 168 1
-2.86045 15.19752 -0.35295 166 166 166 1
-2.83400 15.19729 -0.47614 158 158 158 1
-2.81073 15.20410 -0.59941 159 159 159 1
-2.78077 15.20457 -0.72117 164 164 164 1
-2.76774 15.19989 -0.84762 162 162 162 1
-2.71831 15.19803 -0.96404 162 162 162 1
-2.68461 15.19679 -1.08532 166 166 166 1
-2.64142 15.19989 -1.20355 147 147 147 1
-2.58113 15.20126 -1.31432 153 153 153 1
-2.52849 15.20215 -1.42824 157 157 157 1
-2.46792 15.19482 -1.53814 150 150 150 1
-2.40681 15.20207 -1.64776 154 154 154 1
-2.33455 15.19973 -1.75041 155 155 155 1
-2.26893 15.20259 -1.85756 156 156 156 1
-2.18871 15.19893 -1.95417 152 152 152 1
-2.11128 15.20009 -2.05282 145 145 145 1
-2.02499 15.20226 -2.14383 139 139 139 1
-1.94142 15.19620 -2.23734 155 155 155 1
-1.84983 15.20170 -2.32299 145 145 145 1
-1.75184 15.20270 -2.40122 143 143 143 1
-1.66414 15.20032 -2.49197 146 146 146 1
-1.55600 15.20302 -2.55684 139 139 139 1
-1.45793 15.20310 -2.63522 144 144 144 1
-1.35272 15.20153 -2.70354 145 145 145 1
-1.24794 15.20073 -2.77317 139 139 139 1
-1.13595 15.20161 -2.83030 144 144 144 1
-1.02475 15.20018 -2.88920 141 141 141 1
-0.90627 15.19907 -2.93193 138 138 138 1
-0.79335 15.20262 -2.98845 142 142 142 1
-0.67098 15.19921 -3.01945 136 136 136 1
-0.55208 15.19938 -3.06043 145 145 145 1
-0.42805 15.20130 -3.08250 140 140 140 1
-0.30739 15.19959 -3.11860 151 151 151 1
-0.18218 15.19901 -3.13199 135 135 135 1
-0.05814 15.20188 -3.15116 140 140 140 1
0.06660 15.20450 -3.16624 144 144 144 1
0.19201 15.19946 -3.17513 140 140 140 1
0.31776 15.19825 -3.17029 138 138 138 1
0.44339 15.19731 -3.17232 143 143 143 1
0.56848 15.19642 -3.16076 138 138 138 1
0.69340 15.20188 -3.14900 147 147 147 1
0.81773 15.20143 -3.13223 140 140 140 1
0.94093 15.19806 -3.10863 141 141 141 1
1.06205 15.19929 -3.07617 132 132 132 1
1.18442 15.19432 -3.04917 143 143 143 1
1.30545 15.20134 -3.01626 134 134 134 1
1.42450 15.19928 -2.97660 149 149 149 1
1.54184 15.19570 -2.93206 137 137 137 1
1.65826 15.19854 -2.88483 144 144 144 1
1.77113 15.20333 -2.82965 146 146 146 1
1.87999 15.19812 -2.76697 147 147 147 1
1.98643 15.20222 -2.70060 148 148 148 1
2.09322 15.20118 -2.63487 146 146 146 1
2.19940 15.20330 -2.56770 145 145 145 1
2.29418 15.20069 -2.48503 145 145 145 1
2.39645 15.20087 -2.41187 150 150 150 1
2.48400 15.19819 -2.32154 149 149 149 1
2.58031 15.19960 -2.24072 149 149 149 1
2.66142 15.19768 -2.14467 154 154 154 1
2.74382 15.20192 -2.05029 142 142 142 1
2.82906 15.20038 -1.95799 151 151 151 1
2.90387 15.20067 -1.85714 150 150 150 1
2.97925 15.19959 -1.75655 152 152 152 1
3.03872 15.20046 -1.64556 154 154 154 1
3.10695 15.20200 -1.54011 155 155 155 1
3.16376 15.20185 -1.42812 159 159 159 1
3.22032 15.20343 -1.31602 159 159 159 1
3.26056 15.19893 -1.19676 151 151 151 1
3.31445 15.20213 -1.08323 161 161 161 1
3.36125 15.20106 -0.96645 159 159 159 1
3.39223 15.20121 -0.84452 164 164 164 1
3.42334 15.20157 -0.72286 158 158 158 1
3.45072 15.19786 -0.60030 163 163 163 1
3.47241 15.20061 -0.47660 162 162 162 1
3.48568 15.19934 -0.35173 159 159 159 1
3.50249 15.20158 -0.22725 166 166 166 1
3.50385 15.20140 -0.10161 166 166 166 1
3.51821 15.60250 0.02438 170 170 170 1
3.51759 15.59913 0.14974 167 167 167 1
3.50089 15.60211 0.27418 170 170 170 1
3.49294 15.59785 0.39911 170 170 170 1
3.48033 15.59671 0.52384 179 179 179 1
3.45554 15.60149 0.64671 177 177 177 1
3.42945 15.59873 0.76924 172 172 172 1
3.39612 15.59881 0.88998 179 179 179 1
3.35800 15.60005 1.00922 173 173 173 1
3.31943 15.59753 1.12834 178 178 178 1
3.28566 15.60127 1.24987 172 172 172 1
3.21897 15.59731 1.35754 176 176 176 1
3.16657 15.60032 1.47112 184 184 184 1
3.10954 15.60221 1.58255 182 182 182 1
3.04982 15.60059 1.69276 186 186 186 1
2.97601 15.59894 1.79417 182 182 182 1
2.91484 15.60046 1.90429 186 186 186 1
2.83312 15.59900 1.99973 182 182 182 1
2.75423 15.59917 2.09706 192 192 192 1
2.66907 15.59790 2.18895 188 188 188 1
2.58515 15.60116 2.28207 187 187 187 1
2.49594 15.59934 2.37023 189 189 189 1
2.39740 15.59683 2.44798 185 185 185 1
2.29684 15.59993 2.52258 199 199 199 1
2.20026 15.59968 2.60218 192 192 192 1
2.09721 15.60300 2.67320 188 188 188 1
1.99378 15.59947 2.74392 195 195 195 1
1.88660 15.59829 2.80898 197 197 197 1
1.77727 15.59837 2.87062 191 191 191 1
1.66558 15.59566 2.92820 190 190 190 1
1.54316 15.60023 2.96108 199 199 199 1
1.42992 15.59828 3.01514 191 191 191 1
1.31287 15.59898 3.06055 196 196 196 1
1.19295 15.60115 3.09788 194 194 194 1
1.07350 15.59824 3.13840 198 198 198 1
0.94789 15.60148 3.15277 193 193 193 1
0.82417 15.60466 3.17404 196 196 196 1
0.69985 15.60079 3.19154 193 193 193 1
0.57454 15.60080 3.19959 197 197 197 1
0.44922 15.59713 3.20460 201 201 201 1
0.32388 15.60062 3.21042 196 196 196 1
0.19826 15.59850 3.21164 199 199 199 1
0.07320 15.59578 3.19981 198 198 198 1
-0.05330 15.60116 3.20176 200 200 200 1
-0.17701 15.60220 3.17777 199 199 199 1
-0.30048 15.59835 3.15450 196 196 196 1
-0.42210 15.60106 3.12324 192 192 192 1
-0.54509 15.59916 3.09749 206 206 206 1
-0.66244 15.59810 3.05230 197 197 197 1
-0.78533 15.60002 3.02373 193 193 193 1
-0.89894 15.60108 2.96961 194 194 194 1
-1.01403 15.60075 2.91996 198 198 198 1
-1.12854 15.60229 2.86871 195 195 195 1
-1.24057 15.60039 2.81205 191 191 191 1
-1.35013 15.59638 2.75061 192 192 192 1
-1.45044 15.60136 2.67468 183 183 183 1
-1.55502 15.60065 2.60564 189 189 189 1
-1.65628 15.60286 2.53171 188 188 188 1
-1.75070 15.59864 2.44921 189 189 189 1
-1.84541 15.60574 2.36723 187 187 187 1
-1.93137 15.59833 2.27605 186 186 186 1
-2.02475 15.59945 2.19213 181 181 181 1
-2.10532 15.60228 2.09608 185 185 185 1
-2.18477 15.59640 1.99926 180 180 180 1
-2.25648 15.60020 1.89659 176 176 176 1
-2.32555 15.60234 1.79237 184 184 184 1
-2.39405 15.59924 1.68785 182 182 182 1
-2.46774 15.60272 1.58588 183 183 183 1
-2.52358 15.59706 1.47355 175 175 175 1
-2.56945 15.59588 1.35673 177 177 177 1
-2.62094 15.60027 1.24284 183 183 183 1
-2.66905 15.60008 1.12737 173 173 173 1
-2.71539 15.60488 1.01089 175 175 175 1
-2.75774 15.59903 0.89263 176 176 176 1
-2.77821 15.60024 0.76840 178 178 178 1
-2.80784 15.59820 0.64672 170 170 170 1
-2.83895 15.60007 0.52485 176 176 176 1
-2.83702 15.60422 0.39815 170 170 170 1
-2.85980 15.59760 0.27471 164 164 164 1
-2.86214 15.60100 0.14944 162 162 162 1
-2.87076 15.60127 0.02438 173 173 173 1
-2.86789 15.60293 -0.10124 160 160 160 1
-2.85646 15.60095 -0.22635 170 170 170 1
-2.84294 15.60191 -0.35107 157 157 157 1
-2.82506 15.59857 -0.47520 166 166 166 1
-2.80976 15.60211 -0.59997 161 161 161 1
-2.78387 15.60315 -0.72294 160 160 160 1
-2.75067 15.60092 -0.84413 155 155 155 1
-2.71830 15.60291 -0.96564 153 153 153 1
-2.67286 15.60105 -1.08289 162 162 162 1
-2.62742 15.59990 -1.19994 160 160 160 1
-2.57448 15.60224 -1.31376 157 157 157 1
-2.51901 15.60114 -1.42623 155 155 155 1
-2.46936 15.60118 -1.54209 152 152 152 1
-2.40806 15.59829 -1.65200 153 153 153 1
-2.32480 15.59800 -1.74772 158 158 158 1
-2.26146 15.59973 -1.85632 149 149 149 1
-2.18504 15.60444 -1.95585 150 150 150 1
-2.10460 15.59963 -2.05208 149 149 149 1
-2.03325 15.59783 -2.15686 148 148 148 1
-1.93291 15.59729 -2.23468 154 154 154 1
-1.83665 15.59864 -2.31508 152 152 152 1
-1.75166 15.60225 -2.40788 149 149 149 1
-1.65367 15.60367 -2.48614 146 146 146 1
-1.55458 15.59993 -2.56298 142 142 142 1
-1.45079 15.60008 -2.63333 147 147 147 1
-1.35000 15.60191 -2.70872 142 142 142 1
-1.23909 15.59894 -2.76789 147 147 147 1
-1.12666 15.59857 -2.82365 134 134 134 1
-1.01163 15.59823 -2.87353 139 139 139 1
-0.89781 15.59711 -2.92576 141 141 141 1
-0.78517 15.59929 -2.98231 132 132 132 1
-0.66704 15.59835 -3.02558 136 136 136 1
-0.54423 15.59692 -3.05366 136 136 136 1
-0.42220 15.60056 -3.08294 138 138 138 1
-0.29965 15.59676 -3.10973 140 140 140 1
-0.17539 15.59715 -3.12697 140 140 140 1
-0.05270 15.60535 -3.15616 138 138 138 1
0.07226 15.60034 -3.17126 145 145 145 1
0.19819 15.59961 -3.17272 135 135 135 1
0.32388 15.60486 -3.16722 133 133 133 1
0.44984 15.59819 -3.17979 141 141 141 1
0.57437 15.59813 -3.15698 142 142 142 1
0.69947 15.59909 -3.14782 140 140 140 1
0.82517 15.59766 -3.13975 144 144 144 1
0.94768 15.59719 -3.11110 138 138 138 1
1.07103 15.59854 -3.08742 141 141 141 1
1.19249 15.59744 -3.05544 140 140 140 1
1.31247 15.59729 -3.01843 141 141 141 1
1.43353 15.60128 -2.98395 139 139 139 1
1.54807 15.60251 -2.93181 146 146 146 1
1.66175 15.60486 -2.87866 142 142 142 1
1.78035 15.60035 -2.83529 142 142 142 1
1.88635 15.59937 -2.76699 149 149 149 1
1.99343 15.59914 -2.70165 154 154 154 1
2.09901 15.60104 -2.63402 145 145 145 1
2.20731 15.59979 -2.56983 144 144 144 1
2.30429 15.60209 -2.48977 143 143 143 1
2.39921 15.59424 -2.40764 143 143 143 1
2.49213 15.59596 -2.32343 148 148 148 1
2.58205 15.59811 -2.23607 156 156 156 1
2.66663 15.60295 -2.14356 146 146 146 1
2.75055 15.59919 -2.05055 144 144 144 1
2.82889 15.60058 -1.95277 147 147 147 1
2.90228 15.60332 -1.85128 153 153 153 1
2.98365 15.60133 -1.75513 155 155 155 1
3.04887 15.59968 -1.64775 144 144 144 1
3.11277 15.59699 -1.53965 154 154 154 1
3.17193 15.60135 -1.42886 154 154 154 1
3.21411 15.60126 -1.31002 153 153 153 1
3.27589 15.60359 -1.20024 155 155 155 1
3.32564 15.59842 -1.08474 157 157 157 1
3.37225 15.60409 -0.96766 161 161 161 1
3.40036 15.59847 -0.84467 158 158 158 1
3.42896 15.59928 -0.72230 156 156 156 1
3.45293 15.60457 -0.59906 163 163 163 1
3.46649 15.60023 -0.47420 166 166 166 1
3.49229 15.60296 -0.35126 167 167 167 1
3.50937 15.60134 -0.22675 167 167 167 1
3.51348 15.59558 -0.10116 171 171 171 1
3.51454 16.00408 0.02500 166 166 166 1
3.51989 16.00087 0.15020 173 173 173 1
3.50776 16.00021 0.27484 169 169 169 1
3.50262 15.99827 0.40012 174 174 174 1
3.47668 15.99903 0.52286 168 168 168 1
3.45617 15.99964 0.64617 166 166 166 1
3.43667 15.99859 0.77004 175 175 175 1
3.41066 16.00116 0.89288 171 171 171 1
3.36502 15.99924 1.01001 178 178 178 1
3.31902 16.00106 1.12641 173 173 173 1
3.28032 15.99951 1.24558 176 176 176 1
3.23077 16.00478 1.36060 179 179 179 1
3.17879 15.99715 1.47464 182 182 182 1
3.11738 16.00203 1.58390 180 180 180 1
3.05296 15.99603 1.69129 178 178 178 1
2.98652 16.00106 1.79744 177 177 177 1
2.90562 15.99792 1.89345 188 188 188 1
2.83455 16.00315 1.99629 185 185 185 1
2.75995 15.99632 2.09695 183 183 183 1
2.67457 15.99788 2.18857 183 183 183 1
2.58906 15.99726 2.28001 194 194 194 1
2.49696 16.00053 2.36483 182 182 182 1
2.40583 15.99645 2.45076 193 193 193 1
2.30771 16.00500 2.52864 190 190 190 1
2.20861 16.00187 2.60525 188 188 188 1
2.10202 15.99997 2.67120 189 189 189 1
1.99675 15.99656 2.73869 192 192 192 1
1.89136 15.99921 2.80643 188 188 188 1
1.78202 16.00231 2.86778 190 190 190 1
1.67033 16.00348 2.92504 199 199 199 1
1.55455 15.99834 2.97358 198 198 198 1
1.43692 15.99510 3.01731 200 200 200 1
1.31821 16.00066 3.05792 188 188 188 1
1.19851 16.00234 3.09567 195 195 195 1
1.07542 16.00349 3.12076 189 189 189 1
0.95517 15.99787 3.15851 196 196 196 1
0.83140 15.99535 3.18112 199 199 199 1
0.70590 15.99983 3.19128 191 191 191 1
0.58072 15.99738 3.20132 200 200 200 1
0.45540 15.99796 3.20896 193 193 193 1
0.32983 16.00044 3.21430 198 198 198 1
0.20419 16.00276 3.21107 200 200 200 1
0.07901 15.99920 3.20050 198 198 198 1
-0.04623 16.00103 3.19124 195 195 195 1
-0.17223 16.00084 3.18421 191 191 191 1
-0.29451 15.99770 3.15351 197 197 197 1
-0.41584 16.00257 3.12111 189 189 189 1
-0.54019 15.99856 3.10046 194 194 194 1
-0.65753 15.99602 3.05479 195 195 195 1
-0.77563 15.99863 3.01291 195 195 195 1
-0.89175 15.99973 2.96601 195 195 195 1
-1.00709 16.00066 2.91728 189 189 189 1
-1.12003 15.99908 2.86321 195 195 195 1
-1.23404 16.00227 2.81063 191 191 191 1
-1.33781 15.99395 2.73987 190 190 190 1
-1.44737 15.99865 2.67871 188 188 188 1
-1.54677 16.00096 2.60226 189 189 189 1
-1.64758 15.99789 2.52805 188 188 188 1
-1.74293 16.00371 2.44698 184 184 184 1
-1.83625 15.99903 2.36370 190 190 190 1
-1.92494 16.00286 2.27556 185 185 185 1
-2.01491 16.00180 2.18858 186 186 186 1
-2.10038 16.00037 2.09703 187 187 187 1
-2.17679 15.99903 1.99780 187 187 187 1
-2.25010 15.99957 1.89646 175 175 175 1
-2.32329 16.00116 1.79505 187 187 187 1
-2.38984 16.00206 1.68917 182 182 182 1
-2.45815 16.00145 1.58414 181 181 181 1
-2.52012 16.00198 1.47515 183 183 183 1
-2.56502 15.99313 1.35779 177 177 177 1
-2.62069 15.99448 1.24560 182 182 182 1
-2.66035 16.00132 1.12678 182 182 182 1
-2.70638 15.99762 1.01035 175 175 175 1
-2.74986 16.00352 0.89255 172 172 172 1
-2.77083 16.00169 0.76856 173 173 173 1
-2.79714 16.00137 0.64630 174 174 174 1
-2.82727 15.99706 0.52449 172 172 172 1
-2.83026 15.99738 0.39862 173 173 173 1
-2.84826 15.99733 0.27485 170 170 170 1
-2.86178 16.00266 0.15027 170 170 170 1
-2.86023 16.00213 0.02500 166 166 166 1
-2.86731 15.99874 -0.10087 166 166 166 1
-2.85656 15.99976 -0.22627 168 168 168 1
-2.84442 15.99776 -0.35144 164 164 164 1
-2.82753 15.99918 -0.47606 168 168 168 1
-2.79628 15.99970 -0.59803 162 162 162 1
-2.76631 15.99893 -0.71975 157 157 157 1
-2.74336 16.00207 -0.84337 163 163 163 1
-2.70340 15.99732 -0.96239 158 158 158 1
-2.66749 16.00164 -1.08278 156 156 156 1
-2.62060 16.00198 -1.19929 161 161 161 1
-2.57143 16.00071 -1.31483 156 156 156 1
-2.51590 16.00287 -1.42743 151 151 151 1
-2.45253 15.99514 -1.53576 151 151 151 1
-2.39110 15.99894 -1.64503 152 152 152 1
-2.33038 15.99626 -1.75521 151 151 151 1
-2.24766 16.00226 -1.85041 146 146 146 1
-2.18467 16.00380 -1.96004 153 153 153 1
-2.09655 15.99574 -2.05009 155 155 155 1
-2.01777 15.99771 -2.14783 141 141 141 1
-1.92902 15.99843 -2.23653 149 149 149 1
-1.84071 16.00153 -2.32568 152 152 152 1
-1.74974 16.00044 -2.41236 142 142 142 1
-1.65246 16.00054 -2.49189 143 143 143 1
-1.54704 15.99714 -2.56051 147 147 147 1
-1.44583 16.00182 -2.63450 149 149 149 1
-1.34298 16.00182 -2.70663 137 137 137 1
-1.23350 15.99926 -2.76815 144 144 144 1
-1.11978 16.00192 -2.82141 147 147 147 1
-1.00566 15.99948 -2.87304 144 144 144 1
-0.89493 16.00201 -2.93270 138 138 138 1
-0.77555 15.99914 -2.97184 140 140 140 1
-0.65738 15.99979 -3.01359 134 134 134 1
-0.54000 15.99269 -3.05914 139 139 139 1
-0.41772 15.99855 -3.08841 147 147 147 1
-0.29466 15.99918 -3.11385 136 136 136 1
-0.16859 15.99876 -3.12090 144 144 144 1
-0.04591 15.99894 -3.14825 141 141 141 1
0.07829 15.99803 -3.16948 139 139 139 1
0.20465 16.00330 -3.15903 141 141 141 1
0.32983 15.99764 -3.17331 139 139 139 1
0.45585 16.00293 -3.18013 141 141 141 1
0.58139 15.99656 -3.16954 145 145 145 1
0.70578 16.00220 -3.14999 131 131 131 1
0.82991 16.00324 -3.13129 144 144 144 1
0.95241 15.99792 -3.10418 144 144 144 1
1.07742 16.00294 -3.08856 139 139 139 1
1.19643 15.99990 -3.04769 139 139 139 1
1.31625 16.00204 -3.01115 148 148 148 1
1.43575 16.00116 -2.97328 148 148 148 1
1.55178 15.99856 -2.92591 135 135 135 1
1.67081 16.00276 -2.88493 148 148 148 1
1.78250 15.99995 -2.82740 140 140 140 1
1.89222 15.99838 -2.76646 145 145 145 1
1.99847 15.99988 -2.69981 141 141 141 1
2.10679 15.99419 -2.63645 146 146 146 1
2.20803 16.00096 -2.56233 140 140 140 1
2.31553 15.99911 -2.49621 142 142 142 1
2.40601 15.99244 -2.40838 151 151 151 1
2.49980 15.99816 -2.32506 151 151 151 1
2.58448 16.00155 -2.23233 150 150 150 1
2.67404 15.99546 -2.14469 141 141 141 1
2.76565 15.99924 -2.05814 151 151 151 1
2.83502 16.00176 -1.95270 147 147 147 1
2.91262 16.00339 -1.85426 148 148 148 1
2.98392 16.00208 -1.75111 148 148 148 1
3.04863 15.99891 -1.64373 151 151 151 1
3.12041 16.00317 -1.54036 157 157 157 1
3.17894 16.00285 -1.42915 156 156 156 1
3.23171 16.00409 -1.31511 160 160 160 1
3.27705 16.00091 -1.19796 160 160 160 1
3.32219 16.00110 -1.08095 152 152 152 1
3.36310 16.00310 -0.96240 150 150 150 1
3.40365 16.00215 -0.84354 168 168 168 1
3.42935 16.00338 -0.72056 156 156 156 1
3.45615 16.00215 -0.59807 163 163 163 1
3.47322 16.00203 -0.47384 164 164 164 1
3.50358 15.99731 -0.35138 169 169 169 1
3.51734 16.00146 -0.22636 164 164 164 1
3.51259 15.99894 -0.10030 170 170 170 1
3.51715 16.40386 0.02562 165 165 165 1
3.52738 16.40031 0.15087 169 169 169 1
3.51884 16.39681 0.27584 169 169 169 1
3.50680 16.40218 0.40048 179 179 179 1
3.48667 16.40407 0.52406 167 167 167 1
3.46173 16.40480 0.64664 171 171 171 1
3.43959 16.39935 0.76983 171 171 171 1
3.40928 16.40157 0.89131 175 175 175 1
3.37759 16.40054 1.01264 178 178 178 1
3.33064 16.40112 1.12896 171 171 171 1
3.28033 16.40016 1.24355 188 188 188 1
3.22980 16.39639 1.35781 181 181 181 1
3.17913 16.39924 1.47216 175 175 175 1
3.11610 16.40109 1.58019 177 177 177 1
3.05562 16.40302 1.68959 180 180 180 1
2.98883 16.39911 1.79528 184 184 184 1
2.92500 16.40287 1.90344 187 187 187 1
2.83534 16.40702 1.99243 187 187 187 1
2.76587 16.39866 2.09708 182 182 182 1
2.67470 16.40200 2.18331 188 188 188 1
2.60190 16.39698 2.28698 186 186 186 1
2.49816 16.39525 2.35971 183 183 183 1
2.40627 16.40429 2.44430 183 183 183 1
2.31267 16.40391 2.52731 188 188 188 1
2.21240 16.39475 2.60215 189 189 189 1
2.11533 16.40278 2.68206 181 181 181 1
2.00393 16.40064 2.74050 193 193 193 1
1.89745 16.40218 2.80643 195 195 195 1
1.78459 16.39982 2.86086 189 189 189 1
1.67651 16.39864 2.92521 190 190 190 1
1.55811 16.39896 2.96746 191 191 191 1
1.44020 16.40584 3.00969 191 191 191 1
1.32033 16.40626 3.04573 197 197 197 1
1.20317 16.40446 3.09070 197 197 197 1
1.08330 16.39679 3.12841 194 194 194 1
0.95937 16.40048 3.14944 196 196 196 1
0.83571 16.39950 3.17061 193 193 193 1
0.71080 16.39569 3.18254 194 194 194 1
0.58658 16.40274 3.20102 198 198 198 1
0.46128 16.39988 3.21005 190 190 190 1
0.33562 16.39826 3.20354 197 197 197 1
0.21020 16.39477 3.20384 198 198 198 1
0.08487 16.40316 3.19827 192 192 192 1
-0.03950 16.39763 3.18202 201 201 201 1
-0.16446 16.39602 3.17051 194 194 194 1
-0.28843 16.39808 3.15094 195 195 195 1
-0.41119 16.39901 3.12481 195 195 195 1
-0.53205 16.39644 3.09114 197 197 197 1
-0.65020 16.40322 3.04913 192 192 192 1
-0.77069 16.39913 3.01439 202 202 202 1
-0.88480 16.40010 2.96246 196 196 196 1
-1.00388 16.39851 2.92219 199 199 199 1
-1.11627 16.40067 2.86659 194 194 194 1
-1.22555 16.39902 2.80524 190 190 190 1
-1.33333 16.39918 2.74154 197 197 197 1
-1.43765 16.39787 2.67242 191 191 191 1
-1.54338 16.40400 2.60521 187 187 187 1
-1.63897 16.39594 2.52420 190 190 190 1
-1.74140 16.40159 2.45175 187 187 187 1
-1.83227 16.39731 2.36550 188 188 188 1
-1.91897 16.40522 2.27529 198 198 198 1
-2.00716 16.39823 2.18672 191 191 191 1
-2.08945 16.40203 2.09266 184 184 184 1
-2.17887 16.39592 2.00407 186 186 186 1
-2.23831 16.40067 1.89222 183 183 183 1
-2.31232 16.39831 1.79176 187 187 187 1
-2.37751 16.40467 1.68537 183 183 183 1
-2.44824 16.39976 1.58208 183 183 183 1
-2.50461 16.40061 1.47049 175 175 175 1
-2.56172 16.39607 1.35927 181 181 181 1
-2.61195 16.40212 1.24473 178 178 178 1
-2.66055 16.40025 1.12938 181 181 181 1
-2.70104 16.40544 1.01092 170 170 170 1
-2.73341 16.39839 0.89000 169 169 169 1
-2.76166 16.40108 0.76823 169 169 169 1
-2.79584 16.40007 0.64770 169 169 169 1
-2.81801 16.40029 0.52447 174 174 174 1
-2.83002 16.40305 0.39983 173 173 173 1
-2.83793 16.39488 0.27508 170 170 170 1
-2.85922 16.39788 0.15099 171 171 171 1
-2.85267 16.40259 0.02563 164 164 164 1
-2.85084 16.39965 -0.09986 166 166 166 1
-2.84639 16.39870 -0.22539 166 166 166 1
-2.82957 16.39880 -0.34987 169 169 169 1
-2.80931 16.39638 -0.47363 164 164 164 1
-2.79633 16.40205 -0.59877 160 160 160 1
-2.76735 16.40159 -0.72100 159 159 159 1
-2.73740 16.39961 -0.84297 166 166 166 1
-2.68783 16.39893 -0.95890 155 155 155 1
-2.66123 16.40279 -1.08233 155 155 155 1
-2.60726 16.40057 -1.19591 161 161 161 1
-2.56615 16.40208 -1.31483 161 161 161 1
-2.50141 16.40035 -1.42278 156 156 156 1
-2.44957 16.39607 -1.53715 157 157 157 1
-2.38087 16.39491 -1.64214 158 158 158 1
-2.31071 16.39824 -1.74577 146 146 146 1
-2.24717 16.40068 -1.85410 154 154 154 1
-2.16717 16.40056 -1.95065 149 149 149 1
-2.08873 16.39486 -2.04820 153 153 153 1
-2.00367 16.40394 -2.13999 148 148 148 1
-1.92252 16.40147 -2.23564 149 149 149 1
-1.83521 16.40393 -2.32581 145 145 145 1
-1.74124 16.40359 -2.40898 147 147 147 1
-1.64777 16.39681 -2.49306 148 148 148 1
-1.54392 16.40199 -2.56393 147 147 147 1
-1.43788 16.39720 -2.63100 150 150 150 1
-1.33580 16.39858 -2.70404 139 139 139 1
-1.22362 16.39687 -2.76050 144 144 144 1
-1.11392 16.40451 -2.82089 144 144 144 1
-1.00836 16.39626 -2.89102 142 142 142 1
-0.88894 16.39897 -2.93172 136 136 136 1
-0.76886 16.40071 -2.96885 140 140 140 1
-0.65210 16.39805 -3.01459 139 139 139 1
-0.53324 16.39727 -3.05508 135 135 135 1
-0.40848 16.40066 -3.07334 133 133 133 1
-0.28604 16.39833 -3.09884 134 134 134 1
-0.16438 16.40160 -3.13004 138 138 138 1
-0.04023 16.40433 -3.14831 146 146 146 1
0.08419 16.40244 -3.16702 144 144 144 1
0.21024 16.40507 -3.16310 143 143 143 1
0.33562 16.39845 -3.17767 142 142 142 1
0.46123 16.40229 -3.16886 148 148 148 1
0.58621 16.40063 -3.15638 134 134 134 1
0.71250 16.39920 -3.15696 141 141 141 1
0.83700 16.40396 -3.13872 139 139 139 1
0.96057 16.40154 -3.11540 137 137 137 1
1.08213 16.39820 -3.08338 146 146 146 1
1.20620 16.39575 -3.06118 136 136 136 1
1.32478 16.40089 -3.01902 152 152 152 1
1.43973 16.40296 -2.96787 148 148 148 1
1.55601 16.39733 -2.92165 148 148 148 1
1.67108 16.39783 -2.87253 143 143 143 1
1.78917 16.40261 -2.82875 141 141 141 1
1.89455 16.40001 -2.75994 143 143 143 1
2.00746 16.39746 -2.70473 147 147 147 1
2.11175 16.39748 -2.63492 150 150 150 1
2.20695 16.40559 -2.55263 143 143 143 1
2.31635 16.39819 -2.48969 147 147 147 1
2.40776 16.40114 -2.40345 146 146 146 1
2.50160 16.39729 -2.32055 143 143 143 1
2.58798 16.39742 -2.22987 148 148 148 1
2.68034 16.40061 -2.14501 145 145 145 1
2.75820 16.39813 -2.04668 144 144 144 1
2.84627 16.40178 -1.95685 157 157 157 1
2.91435 16.39697 -1.85115 147 147 147 1
2.99373 16.39832 -1.75364 152 152 152 1
3.06365 16.40219 -1.64921 150 150 150 1
3.12189 16.40069 -1.53776 145 145 145 1
3.18542 16.40219 -1.42929 152 152 152 1
3.22970 16.40298 -1.31128 156 156 156 1
3.28103 16.39773 -1.19695 151 151 151 1
3.33282 16.40224 -1.08245 154 154 154 1
3.36875 16.40262 -0.96204 160 160 160 1
